Ticker,cumulative_return
ADANIENT,0.004825688900916392
ADANIPORTS,0.47802626446496044
APOLLOHOSP,0.4458517059136273
ASIANPAINT,-0.15755396909236352
AXISBANK,0.17555052479934474
BAJAJ-AUTO,0.774144657441969
BAJAJFINSV,0.01780207902851605
BAJFINANCE,-0.10545510512721079
BEL,1.121223564954685
BHARTIARTL,0.7179922272702395
BPCL,0.6018492574950989
BRITANNIA,0.10257430696108916
CIPLA,0.23746097814776013
COALINDIA,0.3502364258927093
DRREDDY,0.1357536309139724
EICHERMOT,0.5191408332698597
GRASIM,0.3962603766488455
HCLTECH,0.5079232693911611
HDFCBANK,0.18385893523228258
HDFCLIFE,0.10991049108942796
HEROMOTOCO,0.550259502983071
HINDALCO,0.409336503133781
HINDUNILVR,-0.010921225604208051
ICICIBANK,0.3982276680706751
INDUSINDBK,-0.30322490576574046
INFY,0.40475575084001214
ITC,0.10873627657089502
JSWSTEEL,0.34909241493546816
KOTAKBANK,0.021485734168405823
LT,0.24460332262632645
M&M,1.07132545029561
MARUTI,0.08171845362639196
NESTLEIND,-0.058631826312064206
NTPC,0.5711521926053293
ONGC,0.3154793786823782
POWERGRID,0.676785269967652
RELIANCE,0.10159310524941301
SBILIFE,0.11159761984955585
SBIN,0.4407662429378496
SHRIRAMFIN,0.49825206991720594
SUNPHARMA,0.6084035119154305
TATACONSUM,0.05956998408178782
TATAMOTORS,0.26015612553767764
TATASTEEL,0.22452830188678963
TCS,0.27440589674688187
TECHM,0.553150831037243
TITAN,0.04263565891472898
TRENT,2.027233635929293
ULTRACEMCO,0.3571995299142763
WIPRO,0.5005906286914292
