Ticker,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
ADANIENT,1.0,0.8997043074649391,0.20470008290335098,0.41167936481126444,0.32531580785439723,0.3544102461805486,0.36668375713143353,0.37774974149298035,0.68224538671118,0.2567370667255913,0.457645201574796,0.31643054916756375,0.13254579738906924,0.6036039745007415,0.18420240461647344,0.35607728481838397,0.40628887134691255,0.33233803822316405,0.4507443820229852,0.08459570868388243,0.32300051090071996,0.4901803548170824,0.11041228889420637,0.45883506392635587,0.49866860448491385,0.21951634731519123,0.4090929752490681,0.5243379041149158,0.3509473171178023,0.6189508443384641,0.31376916449214404,0.21429098762064225,0.3420631220445257,0.6630461419100212,0.5257972869239691,0.5070879706001854,0.6015992394842428,0.25673814709918974,0.6463848599670187,0.43658849152615403,0.22160168283819331,0.4229213017309296,0.47095401053488345,0.5152873422326146,0.2670535713223976,0.2190020112093215,0.349906556499215,0.2607358101356908,0.5596867243709954,0.4300923324256008
ADANIPORTS,0.8997043074649391,1.0,0.2506974844119991,0.42606608279188907,0.38726079306451977,0.3708971615850454,0.376248372112335,0.41991561833172325,0.7509186941936928,0.2768121663791417,0.48413382501662666,0.34727747017233573,0.13735389357177002,0.6524712095961126,0.17564825765798173,0.299560266794613,0.4274693146772253,0.3766599093496492,0.5113132577641449,0.059569008980644496,0.32410897039488906,0.538626464192465,0.14422944581602729,0.5161345198713999,0.5286753985812185,0.28802647771049666,0.4411873580793222,0.5587924073108844,0.4260650034180922,0.6571094471863318,0.3167577770323812,0.1631371266624074,0.37612267971007807,0.737084785343367,0.5583066527402908,0.6166336470700811,0.6332708888543566,0.23082614771283025,0.6840091924787863,0.4647555234795987,0.2590444270734087,0.47292469419869143,0.4892535217808984,0.553719088053672,0.3257604506915438,0.24293759354817643,0.3631457653432268,0.2725683169686473,0.6244308559387135,0.46959973802068694
APOLLOHOSP,0.20470008290335098,0.2506974844119991,1.0,0.29171062313665547,0.17300677942792578,0.27569966961840203,0.23600640907805043,0.2162050559615073,0.2651405186692257,0.19066781130546698,0.16726123939898707,0.28214606921436397,0.2427746868568008,0.25451426602845983,0.24543717493730302,0.3002929827587702,0.26953617447350725,0.2987804030019559,0.14641134137318898,0.11027635096046899,0.28241596728450546,0.1099650207524551,0.12830139481066336,0.17778800486832017,0.14018494089650366,0.1108109580776532,0.20723608876343325,0.2957108742239103,0.15559449216076912,0.25457101981856073,0.24456689235297224,0.15949390714301262,0.2782541218975006,0.2205711042628354,0.18242883723719133,0.23137195991339274,0.25363907474719355,0.1569206601597794,0.20968600329835788,0.25615376410472646,0.29993097205458846,0.174502332216803,0.2467640592250629,0.2746905284442223,0.1484257852037447,0.14917963245885618,0.2617362191573563,0.10393714257762805,0.3152183788155319,0.2613251597391454
ASIANPAINT,0.41167936481126444,0.42606608279188907,0.29171062313665547,1.0,0.1576584895290082,0.2743174116044528,0.22969150552217799,0.30560125200889254,0.32168281666572446,0.11701364161184147,0.22880847058068504,0.5295659200051934,0.18230815148972726,0.28827436639687043,0.15229522208194962,0.2914842151670737,0.39738463361651577,0.25612529115149174,0.3640348930756227,0.09051624463286304,0.2652810053278263,0.35426129286595537,0.33027876544353946,0.25736026599292017,0.2721310649211302,0.17704050616537775,0.3889232082496201,0.41009161203079086,0.27322997506486435,0.327200804273142,0.14457620872839314,0.17314310885633902,0.43954813695892275,0.36092336585296797,0.16744717484713256,0.24341962139494935,0.38846786096045843,0.19794515291857462,0.22636051314221148,0.23019148842316342,0.24636324265074444,0.40151063435671164,0.22236658252517835,0.3498948566548855,0.26673859503346675,0.21152416258525156,0.345590048482734,0.2892890185724373,0.4415180807344721,0.2879722281727548
AXISBANK,0.32531580785439723,0.38726079306451977,0.17300677942792578,0.1576584895290082,1.0,0.20112896318262116,0.41817569861818144,0.3677730564465735,0.33045956244573477,0.23716071994373747,0.24156629258163567,0.1681986619407053,0.08689761423756914,0.3355075497269931,0.0813829876637478,0.30630385142052,0.3697713080133383,0.12556849130028774,0.4566142207395557,0.23006202377481,0.1968703212727315,0.23603499926636798,0.021170855010386194,0.6462262103565197,0.3609414471348578,0.07734581695695938,0.2784793575465613,0.3608693841637716,0.31145343563439115,0.3509556549490332,0.2497010083031605,0.24575132195615002,0.1790195386056861,0.37915489161162597,0.33287845271903427,0.3171086236157973,0.4453056274625549,0.1675740430311981,0.5005278181203027,0.44751773205840345,0.1730932566245344,0.17770720896525768,0.2710756535261659,0.38041891434445124,0.13213052718327387,0.14914380506304248,0.16471464984829007,0.19368207882163285,0.3768690480896353,0.23617163848489167
BAJAJ-AUTO,0.3544102461805486,0.3708971615850454,0.27569966961840203,0.2743174116044528,0.20112896318262116,1.0,0.22388157246736481,0.1937884835135436,0.3724996910526182,0.24230119424097182,0.25358962789806927,0.23666157214793193,0.058437156095630174,0.3296407779573285,0.10855297271922146,0.2753100045430337,0.2524584787793293,0.2552278907144967,0.2909141359274602,0.08223290562069994,0.4545105049730534,0.33775470282322795,0.18234416810285986,0.20592665590045373,0.2715497687063833,0.08128846827859505,0.26548293140561,0.3105649182842105,0.18126398249077053,0.2825750867356498,0.2935946123040528,0.2758015068958399,0.32848855120527215,0.35658045601630994,0.23717955343888059,0.3125110556603685,0.36621048074822815,0.16832379956597546,0.26881507052923653,0.29742836860494176,0.19543938328180485,0.32436469715994287,0.3942017382833206,0.36653336030500727,0.1687005624235347,0.12142470430177983,0.25857086139679436,0.27085312742950146,0.362378655236369,0.26267347200511465
BAJAJFINSV,0.36668375713143353,0.376248372112335,0.23600640907805043,0.22969150552217799,0.41817569861818144,0.22388157246736481,1.0,0.735712519677335,0.30620363005517626,0.26081872548657076,0.363645928636804,0.23107178767612332,0.1560514490615272,0.2818425047997087,0.2827929352258737,0.24792127360164054,0.4318835867379441,0.23960517338067452,0.3075340923926559,0.33877474125299406,0.2431515750933551,0.2576194237503354,0.15847745185059747,0.40620668083639405,0.40602764058700774,0.21130401217388312,0.286950578381228,0.4201349467456833,0.24504369610004587,0.37240299551898054,0.3313918249622159,0.3224723984729993,0.26881287310775637,0.36878559374008724,0.32793683509273863,0.3124671257601354,0.3972555792435185,0.4133181850097644,0.39653946240293947,0.4808054458534037,0.21257377585320444,0.2656049302568337,0.25754062100111164,0.45617952217583135,0.19572821415605363,0.16412107283406963,0.2946515090405422,0.20240882966203946,0.3923858847676235,0.2785319500990734
BAJFINANCE,0.37774974149298035,0.41991561833172325,0.2162050559615073,0.30560125200889254,0.3677730564465735,0.1937884835135436,0.735712519677335,1.0,0.31282419760094066,0.2880285393965827,0.2842190825200388,0.24789477143127372,0.07066649922436344,0.30292484048589285,0.09978233259479773,0.1816141677690751,0.37798535947186707,0.19277684856828592,0.3458095426137537,0.28163262795423516,0.2067738951350316,0.270341375695825,0.14251500710232903,0.35072727261652276,0.4167607145951769,0.18911809536156593,0.3034858901300446,0.3998718748991613,0.3241290723494291,0.37454763092089954,0.2557466855798628,0.27276371195082916,0.2754811868611121,0.34422414085140296,0.3364003493925375,0.28727638489304236,0.41984817912934247,0.34472415642422644,0.3990454170060335,0.4586212436878273,0.1463582086543602,0.25304677954569027,0.2266771391733906,0.40002639631309245,0.1777052262495896,0.15584128499935898,0.2737120083240224,0.24759604794762702,0.42027716075281857,0.26356820905782696
BEL,0.68224538671118,0.7509186941936928,0.2651405186692257,0.32168281666572446,0.33045956244573477,0.3724996910526182,0.30620363005517626,0.31282419760094066,1.0,0.24516796710672673,0.47618122348849473,0.27940788468937094,0.12681293619146947,0.6752883747395155,0.13714461732489622,0.2920217877458868,0.4079645577384595,0.39955940408374657,0.46673687105854783,0.055828523388953374,0.21181769292833325,0.5492674118691304,0.060439501271433736,0.4307217472024307,0.408101466830762,0.2738266889774377,0.37344706839029734,0.554350207710787,0.3918186173321766,0.6892825877311378,0.3553816621902626,0.09406050685812463,0.36177239088387764,0.7314929360194,0.5562707603137053,0.6528128737085751,0.5898383008767165,0.16955472653912193,0.6747268420505624,0.43051000303356646,0.20851723668347447,0.4241726275786564,0.49966287284009875,0.5736934257023134,0.31312624747385226,0.29206246866775065,0.24751391081861102,0.33128417649425307,0.6439969795231607,0.45338229681810854
BHARTIARTL,0.2567370667255913,0.2768121663791417,0.19066781130546698,0.11701364161184147,0.23716071994373747,0.24230119424097182,0.26081872548657076,0.2880285393965827,0.24516796710672673,1.0,0.25067846148799106,0.10261203833101887,0.110034077527392,0.2311272589781484,0.177524054068423,0.2527321009640413,0.26853031375642133,0.24848052749052907,0.16609129789258173,0.21358106802855265,0.16066619817186947,0.23215445570739052,0.13328286184230984,0.32740293401131854,0.21326913307540146,0.27786898126680243,0.24320674913149917,0.33506471621841927,0.265727173373471,0.27482344309636125,0.2602215138788981,0.35034993629137345,0.0774365543648722,0.3166421241798109,0.3404464414659627,0.29538709374518113,0.32746256607769525,0.22600042860871702,0.2541533821044161,0.33832200406697915,0.25131263062559117,0.21190473590074688,0.23828355567257667,0.2852193594866231,0.18744084647479894,0.2535790491297788,0.26995731549505797,0.2458299430507035,0.28285155917907256,0.22126730546165257
